"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",150,-0.37095198203278,-1.45680244485944,0.00906344410876133,0.0167841557569654,0.0045935584176958,5575,"tags=48%, list=29%, signal=34%","23649/100/5436/5433/9328/7251/7936/6884/1854/5432/10714/64976/978/7298/56655/3978/2958/6881/353/11051/10302/11047/1716/9978/1069/2959/53343/10134/5985/2965/404672/50808/2237/5898/10978/10959/3704/6431/6880/1161/6895/3251/2967/2073/5423/10063/5437/22916/5422/23204/1479/5440/5111/65109/4860/6119/51082/9533/5888/7372/51251/51497/30834/10309/5557/25874/5984/8480/11130/4830/6809/5983"
"ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",199,0.368473931455461,1.38122753871611,0.0101302460202605,0.0180897250361794,0.0049508721151649,1656,"tags=17%, list=9%, signal=16%","8404/26353/4638/718/284119/3679/2167/348/8436/10580/1306/4958/6623/2878/83871/604/80760/8082/51129/2040/5733/8322/3910/376497/5168/23187/1282/9370/19/1384/7423/1031/6776/3977"
"SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",134,-0.35749620962809,-1.38605177999196,0.0110192837465565,0.0189987650802698,0.00519966202196857,1973,"tags=16%, list=10%, signal=15%","11004/10124/6558/55342/8100/1033/5984/9133/8161/2146/3598/23397/699/8624/4751/10926/9053/983/6790/7272/2918/1080"
"INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",96,0.442361550953015,1.51532511768207,0.0128410914927769,0.0214018191546281,0.00585733997916139,4685,"tags=47%, list=25%, signal=35%","716/684/10628/972/1435/2634/115361/6402/10581/2766/55281/4061/3433/3627/4599/6773/219285/9636/3665/3437/91543/9246/10964/79132/55603/3107/81894/51056/103/7318/3566/3669/10410/1267/129607/27074/11274/3659/55072/54625/3430/51667/3660/10906/11054"
"APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",44,0.521316348676747,1.56603709282665,0.0136752136752137,0.0220567962503446,0.00603659686851538,2215,"tags=34%, list=12%, signal=30%","2619/8406/6517/7070/3315/131566/1946/6376/2625/3560/266727/55959/146760/84632/9696"
"ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",200,-0.320435972793949,-1.30976867425963,0.0161812297734628,0.0252831715210356,0.00691960483733606,1798,"tags=24%, list=9%, signal=22%","991/10112/6491/2810/2444/1345/3880/120/7031/2171/8309/1717/64065/27134/7134/8416/4232/57834/949/7033/3860/11187/29988/5174/6768/6652/6280/5265/51659/7164/5603/10733/7263/760/7153/1836/2582/8645/6820/51195/990/999/5618/11001/4602/2261/9547/374/3158"
"HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",36,0.544616108437651,1.58329359168301,0.0171526586620926,0.0259888767607464,0.0071127452187306,2878,"tags=44%, list=15%, signal=38%","1808/8828/7857/7070/8829/3897/2735/6252/1400/8861/7090/43/5371/4627/23493/1271"
"CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,-0.392584722807683,-1.37598316081832,0.0257731958762887,0.037901758641601,0.0103731128913855,2283,"tags=32%, list=12%, signal=29%","312/4598/2731/50814/6309/3958/2171/1717/3422/27346/1119/57761/55902/3157/6319/51478/10682/3156/114569/6713/39/134429/127/5468"
"ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,0.352262939939729,1.32280055783155,0.0288600288600289,0.0412286126571841,0.0112836203061767,2685,"tags=28%, list=14%, signal=24%","21/26353/27295/6840/6387/11031/3487/115/2674/9145/10439/794/6542/9214/57419/10395/347733/360/26509/6196/2296/5420/9467/4137/5979/8839/56944/1960/26018/3572/2697/3480/11145/9536/5655/863/7466/7074/367/7052/9846/3625/4477/596/2289/9612/5241/9687/4277/60598/25800/64699/79083/4681/23541/7162"
"UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,-0.359015883894831,-1.34272240363563,0.032171581769437,0.0446827524575514,0.0122289638304877,5475,"tags=48%, list=29%, signal=34%","9797/23478/10130/9221/1973/9451/54512/10954/7184/167227/23404/55153/4848/51013/6745/3484/10605/5611/55651/3799/8815/5832/64924/10797/9652/5393/3313/10528/27230/8602/23517/55272/4800/440/8140/64859/30001/58477/4869/56915/10775/11260/7422/7534/28972/1163/9136/79094/1054/1662/1977/1736/29968"
