"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.113069016152717","0.01067499143141254","0.3212264150943396","0.47333333333333333","25","9","false","MFAP5","36.4","0","25","0","0.9850136949209027","false","0","MFAP5","70054","0.20497175141242938"
"2.9559471365638768","0.0031498640205596586","0.338301043219076","0.12727272727272726","11","9","false","ACE2","34.36363636363637","0","11","0","0.9861280344924548","false","0","ACE2","15512","0.15856236786469344"
"2.829662261380323","0.013847898476017776","0.35339906590555265","0.2","15","8","false","MEP1A","26.533333333333335","0","15","0","0.9870236719051041","false","0","MEP1A","46800","0.103125"
"2.9559471365638768","0.010058192462515105","0.338301043219076","0.1503267973856209","18","8","false","VIL1","18.22222222222222","0","18","0","0.9861280344924548","false","0","VIL1","38472","0.09385964912280702"
"3.486049926578561","0.0022781071633950277","0.2868576242628475","0.10714285714285714","8","9","false","SLC3A1","11.0","0","8","0","0.9823684402370314","false","0","SLC3A1","11144","0.1640625"
"2.7444933920704844","0.008244242497594163","0.36436597110754415","0.34610917537746805","42","9","false","ITGA5","39.30952380952381","0","42","0","0.9876277064392164","false","0","ITGA5","56168","0.13362487852283772"
"3.3127753303964758","0.0015170862344582633","0.30186170212765956","0.36764705882352944","17","8","false","DEFA5","16.529411764705884","0","17","0","0.9835973380822944","false","0","DEFA5","8246","0.15250544662309368"
"2.657856093979442","0.012096798714258367","0.376243093922652","0.33265993265993266","55","9","false","CTGF","38.21818181818182","0","55","0","0.988242155361848","false","0","CTGF","74102","0.11826625386996904"
"3.327459618208517","0.004021353067568013","0.30052956751985876","0.08888888888888889","10","9","false","SLC15A1","9.9","0","10","0","0.9834931941971028","false","0","SLC15A1","12346","0.12368421052631579"
"3.39647577092511","0.0015209239181290834","0.29442282749675747","0.16666666666666666","9","9","false","SOD3","16.77777777777778","0","9","0","0.9830037179367013","false","0","SOD3","6132","0.1639163916391639"
"3.2687224669603525","0.004222051608164383","0.3059299191374663","0.2727272727272727","11","9","false","ACKR1","22.727272727272727","0","11","0","0.9839097697378698","false","0","ACKR1","20260","0.1919191919191919"
"2.932452276064611","0.0038025915300942585","0.3410115172759139","0.2087912087912088","14","9","false","NGFR","29.5","0","14","0","0.9862946647087616","false","0","NGFR","17078","0.13196668802049968"
"4.079295154185022","6.334171555231373E-5","0.2451403887688985","0.0","2","10","false","GYPC","9.5","0","2","0","0.9781610272752835","false","0","GYPC","198","0.5"
"3.0734214390602057","4.393080534659649E-4","0.325370281892021","0.6282051282051282","13","9","false","CCL21","30.615384615384617","0","13","0","0.9852948834109205","false","0","CCL21","3730","0.17199654278305965"
"3.299559471365639","1.860929600995475E-4","0.3030707610146862","0.6373626373626373","14","9","false","CCL19","23.0","0","14","0","0.9836910675789672","false","0","CCL19","1544","0.20909090909090908"
