"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WWTR1",0.655,3.621,9.284,0,0,33.928
"CRYAB",0.849,3.289,9.282,0,0,33.918
"NEXN",0.84,2.904,9.28,0,0,33.894
"GUCY1A1",0.773,2.946,9.274,0,0,33.846
"EVC",0.605,2.075,9.269,0,0,33.803
"MN1",0.662,1.937,9.267,0,0,33.793
"LHFPL6",0.674,4.358,9.265,0,0,33.774
"PLA2G4F",-0.781,2.941,-9.256,0,0,33.693
"EMILIN1",0.826,5.825,9.223,0,0,33.423
"PLN",1.117,2.924,9.208,0,0,33.295
"PMP22",0.66,5.429,9.208,0,0,33.294
"NGFR",0.822,1.455,9.202,0,0,33.246
"GGH",-0.828,6.134,-9.197,0,0,33.199
"HSPG2",0.729,5.654,9.189,0,0,33.135
"ADAMTS1",0.663,3.373,9.17,0,0,32.979
"MRVI1",0.727,3.336,9.169,0,0,32.966
"CACNA1C",0.602,1.736,9.165,0,0,32.932
"SYNGR3",0.644,1.624,9.12,0,0,32.556
"CHRDL2",1.198,2.786,9.109,0,0,32.466
"MORN5",0.619,0.536,9.101,0,0,32.398
"ZEB1",0.606,2.918,9.079,0,0,32.221
"DES",1.931,5.833,9.06,0,0,32.058
"TNC",1.029,4.784,9.045,0,0,31.939
"CAV1",0.704,4.869,9.019,0,0,31.725
"C8orf88",0.625,1.249,9.017,0,0,31.705
"EFEMP2",0.626,3.95,9,0,0,31.57
"PPP1R12B",0.787,3.225,8.99,0,0,31.484
"SLC4A3",0.598,1.295,8.984,0,0,31.437
"OGN",1.072,1.85,8.979,0,0,31.397
"PGM5",0.95,2.143,8.977,0,0,31.378
"ADCY5",0.707,1.54,8.973,0,0,31.35
"COPZ2",0.62,3.117,8.964,0,0,31.273
"TWIST2",0.606,1.759,8.96,0,0,31.24
"MGP",1.072,5.785,8.958,0,0,31.221
"CAP2",0.604,2.329,8.957,0,0,31.213
"SLC27A2",-0.625,4.41,-8.946,0,0,31.124
"ECRG4",0.835,1.104,8.945,0,0,31.116
"SVIL",0.631,4.521,8.939,0,0,31.067
"ANGPTL2",0.797,5.063,8.929,0,0,30.985
"CAVIN2",0.718,2.92,8.918,0,0,30.901
"DPYSL3",0.903,4.867,8.904,0,0,30.786
"LDOC1",0.68,3.14,8.901,0,0,30.762
"MYB",-0.644,4.798,-8.89,0,0,30.668
"ANXA6",0.616,5.691,8.888,0,0,30.653
"HEYL",0.595,3.645,8.884,0,0,30.619
"AMACR",-0.61,3.162,-8.873,0,0,30.532
"CASP5",-0.813,2.548,-8.867,0,0,30.48
"SPOCK1",0.964,2.738,8.859,0,0,30.419
"LIMS2",0.689,2.829,8.831,0,0,30.195
"GEM",0.674,4.639,8.815,0,0,30.061
"ANKRD40CL",-0.734,2.773,-8.798,0,0,29.922
"GFPT2",0.704,2.149,8.797,0,0,29.915
"LOXL1",0.638,3.988,8.769,0,0,29.689
"MYOCD",0.658,1.353,8.744,0,0,29.489
"DDC",-0.968,5.141,-8.743,0,0,29.479
"ATP10B",-0.879,4.939,-8.725,0,0,29.335
"PTPRU",0.835,3.048,8.723,0,0,29.32
"TMEM45B",-0.656,6.765,-8.717,0,0,29.27
"CDX2",-0.941,6.122,-8.65,0,0,28.739
"VWF",0.662,4.897,8.647,0,0,28.717
"OVOL1",-0.626,4.249,-8.646,0,0,28.707
"TDGF1",-0.874,2.871,-8.644,0,0,28.69
"FNBP1",0.592,4.064,8.634,0,0,28.611
"DUOXA2",-1.467,3.641,-8.619,0,0,28.492
"CD109",0.71,2.052,8.615,0,0,28.464
"KLF9",0.606,3.949,8.615,0,0,28.461
"COL14A1",0.82,3.564,8.589,0,0,28.255
"PI16",0.788,1.154,8.587,0,0,28.24
"ID1",-0.921,7.864,-8.585,0,0,28.223
"FSCN1",0.793,5.36,8.577,0,0,28.159
"LGALS1",0.646,8.449,8.575,0,0,28.147
"GGT6",-1.072,4.763,-8.565,0,0,28.069
"ISLR",0.95,5.729,8.562,0,0,28.042
"NPTXR",0.73,1.85,8.553,0,0,27.971
"TIMP2",0.74,6.522,8.547,0,0,27.924
"CALD1",0.838,5.874,8.524,0,0,27.748
"SOX8",0.753,1.281,8.514,0,0,27.664
"GAA",0.585,5.342,8.513,0,0,27.658
"EMP3",0.601,5.04,8.508,0,0,27.623
"SFRP2",1.602,5.091,8.506,0,0,27.604
"ITGAM",0.625,2.247,8.493,0,0,27.502
"MXRA8",0.748,5.38,8.462,0,0,27.258
"CEACAM7",-1.52,5.14,-8.417,0,0,26.908
"RNF186",-1.032,4.455,-8.417,0,0,26.907
"MYH10",0.605,3.248,8.395,0,0,26.738
"METTL7B",-0.613,5.615,-8.395,0,0,26.737
"AEBP1",0.9,6.649,8.382,0,0,26.639
"C1QTNF1",0.602,4.566,8.375,0,0,26.585
"NOX1",-1.069,5.568,-8.37,0,0,26.545
"SATB2",-0.636,3.693,-8.363,0,0,26.493
"CRISPLD2",0.617,4.012,8.347,0,0,26.366
"INMT",0.597,2.421,8.345,0,0,26.351
"MEGF6",0.648,2.967,8.333,0,0,26.257
"DUOX2",-1.423,4.237,-8.327,0,0,26.216
"RBP2",-1.248,2.815,-8.326,0,0,26.208
"GREM1",1.028,4.298,8.313,0,0,26.108
"MFAP4",0.964,5.78,8.279,0,0,25.85
"TTPA",-0.696,2.055,-8.273,0,0,25.799
"OLFM4",-2.112,8.259,-8.233,0,0,25.492
"CXCR4",0.722,5.51,8.229,0,0,25.462
"PDZRN3",0.643,3.025,8.226,0,0,25.444
"QPRT",-1.047,4.862,-8.212,0,0,25.334
"TGFBR3",0.602,2.915,8.207,0,0,25.297
"PDGFRL",0.622,1.735,8.204,0,0,25.277
"TRABD2A",-0.662,4.357,-8.203,0,0,25.264
"COL8A2",0.646,2.662,8.194,0,0,25.195
"SMYD1",0.588,0.476,8.165,0,0,24.98
"SCARF2",0.656,3.373,8.16,0,0,24.942
"FGF7",0.639,1.869,8.159,0,0,24.933
"KRT20",-1.452,6.708,-8.144,0,0,24.82
"CPED1",0.606,2.191,8.131,0,0,24.726
"TENT5B",0.643,1.663,8.127,0,0,24.691
"GRM8",-0.755,1.808,-8.114,0,0,24.598
"VIM",0.594,7.36,8.102,0,0,24.502
"BGN",0.838,8.186,8.091,0,0,24.42
"CERCAM",0.642,3.972,8.09,0,0,24.411
"PNMA2",0.625,1.489,8.089,0,0,24.405
"MAFB",0.635,3.973,8.081,0,0,24.344
"SERPINF1",0.707,5.542,8.071,0,0,24.269
"GUCY2C",-0.901,5.082,-8.07,0,0,24.265
"LY6G6D",-1.316,2.968,-8.056,0,0,24.164
"EPS8L3",-0.596,6.683,-8.049,0,0,24.106
"NNMT",0.699,4.947,8.036,0,0,24.014
"CAPN13",-0.686,2.083,-8.023,0,0,23.912
"LRRC31",-0.703,3.042,-8.02,0,0,23.889
"LRATD1",-0.781,5.562,-8.013,0,0,23.84
"SCARA3",0.662,2.905,8.01,0,0,23.818
"FBN1",0.711,3.964,7.968,0,0,23.503
"KCTD12",0.712,4.807,7.967,0,0,23.498
"PRR15",-0.608,6.793,-7.959,0,0,23.437
"IGFBP6",0.668,4.288,7.948,0,0,23.355
"PDGFRB",0.622,5.376,7.933,0,0,23.246
"FBLN2",0.863,4.284,7.932,0,0,23.243
"MRC2",0.641,4.512,7.922,0,0,23.165
"POU5F1B",-0.609,1.675,-7.921,0,0,23.156
"SPINK1",-1.183,7.599,-7.915,0,0,23.111
"ZCCHC24",0.632,3.84,7.915,0,0,23.111
"FNDC1",0.96,3.57,7.904,0,0,23.031
"BCL2L15",-0.675,4.353,-7.897,0,0,22.983
"OMD",0.659,1.214,7.897,0,0,22.982
"COL15A1",0.672,5.209,7.894,0,0,22.962
"AXIN2",-0.822,5.248,-7.893,0,0,22.956
"SELP",0.634,2.046,7.885,0,0,22.897
"CCL20",-1.068,6.178,-7.883,0,0,22.877
"EFEMP1",0.811,4.389,7.882,0,0,22.874
"LY6G6F-LY6G6D",-1.109,2.445,-7.843,0,0,22.584
"ADTRP",-0.924,2.561,-7.823,0,0,22.439
"CTSF",0.62,3.919,7.8,0,0,22.275
"CSF1R",0.654,4.084,7.797,0,0,22.249
"AIFM3",-0.656,2.971,-7.789,0,0,22.193
"TIMP3",0.645,2.606,7.776,0,0,22.102
"PRAP1",-1.247,6.251,-7.75,0,0,21.913
"HCST",0.633,3.468,7.749,0,0,21.907
"OXCT1",0.618,3.954,7.738,0,0,21.823
"IGFBP5",0.824,6.866,7.694,0,0,21.506
"CLDN5",0.614,2.966,7.683,0,0,21.428
"CD37",0.638,3.18,7.673,0,0,21.356
"CXCL12",0.62,3.423,7.657,0,0,21.241
"PPP1R14C",-0.842,3.539,-7.655,0,0,21.232
"C1S",0.695,6.098,7.651,0,0,21.199
"VIL1",-0.706,6.581,-7.645,0,0,21.156
"CTF1",0.608,2.136,7.644,0,0,21.151
"TRIM7",0.671,1.365,7.641,0,0,21.129
"A2M",0.623,7.145,7.633,0,0,21.071
"MEP1A",-1.124,4.848,-7.618,0,0,20.962
"OLFML2B",0.675,4.434,7.618,0,0,20.962
"ARL14",-0.773,4.078,-7.607,0,0,20.886
"ADGRF4",-0.655,2.274,-7.605,0,0,20.873
"ADH1B",0.803,1.522,7.6,0,0,20.839
"ERP27",-0.774,2.257,-7.595,0,0,20.8
"COL8A1",0.788,3.526,7.591,0,0,20.773
"PRSS8",-0.589,7.653,-7.589,0,0,20.756
"PTPRD",-0.655,2.282,-7.564,0,0,20.581
"CYBRD1",0.683,4.567,7.54,0,0,20.412
"MGST1",-0.6,5.195,-7.525,0,0,20.304
"CCN2",0.643,7.198,7.514,0,0,20.227
"CEBPA",-0.642,5.283,-7.491,0,0,20.067
"CLU",0.848,4.897,7.463,0,0,19.873
"COL6A3",0.722,5.928,7.441,0,0,19.715
"DPEP1",-1.284,5.769,-7.436,0,0,19.684
"PCOLCE",0.597,5.04,7.413,0,0,19.52
"LTBP1",0.592,4.662,7.407,0,0,19.48
"SELENBP1",-0.752,6.756,-7.406,0,0,19.476
"LTBP2",0.616,4.189,7.364,0,0,19.183
"PTGDS",0.831,4.163,7.359,0,0,19.149
"C3",0.928,5.911,7.346,0,0,19.06
"RUBCNL",-0.775,4.003,-7.346,0,0,19.059
"XDH",-0.705,2.949,-7.344,0,0,19.049
"SHISA3",0.635,1.438,7.338,0,0,19.005
"FBLN1",0.831,5.082,7.292,0,0,18.686
"CCL19",1.026,3.154,7.287,0,0,18.654
"ISX",-0.834,2.913,-7.266,0,0,18.508
"MAB21L2",0.629,2.024,7.253,0,0,18.424
"SORBS1",0.705,3.868,7.252,0,0,18.415
"KLF2",0.601,5.207,7.252,0,0,18.412
"HKDC1",-0.625,5.132,-7.24,0,0,18.337
"CDHR1",-0.859,3.277,-7.238,0,0,18.32
